Power,Velocity,beam D,layer thickness,defect_label,material
1350.0,1400.0,240.0,50.0,2.0,SS17-4PH
80.0,1200.0,39.0,30.0,1.0,Ti-6Al-4V
1350.0,1600.0,240.0,50.0,2.0,SS17-4PH
200.0,1000.0,74.0,40.0,0.0,IN718
200.0,950.0,100.0,70.0,0.0,IN718
1350.0,1000.0,240.0,50.0,2.0,SS17-4PH
67.5,305.0,50.0,30.0,1.0,Ti-6Al-4V
370.0,1000.0,100.0,30.0,0.0,Ti-6Al-4V
300.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
75.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
150.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
40.0,600.0,39.0,30.0,1.0,Ti-6Al-4V
180.0,1000.0,50.0,25.0,0.0,IN718
125.0,455.0,50.0,60.0,3.0,Ti-6Al-4V
1350.0,800.0,240.0,50.0,2.0,SS17-4PH
170.0,700.0,100.0,20.0,0.0,SS17-4PH
40.0,800.0,39.0,30.0,1.0,Ti-6Al-4V
160.0,600.0,39.0,30.0,0.0,Ti-6Al-4V
175.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
100.0,800.0,80.0,50.0,0.0,SS17-4PH
195.0,1000.0,30.0,30.0,0.0,Ti-6Al-4V
100.0,2000.0,20.0,20.0,1.0,Ti-6Al-4V
125.0,455.0,50.0,60.0,3.0,Ti-6Al-4V
250.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
120.0,1000.0,39.0,30.0,0.0,Ti-6Al-4V
100.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
325.0,1200.0,100.0,30.0,0.0,Ti-6Al-4V
175.0,1250.0,20.0,35.0,0.0,Ti-6Al-4V
300.0,400.0,100.0,70.0,3.0,IN718
300.0,1600.0,80.0,50.0,2.0,SS17-4PH
1350.0,800.0,240.0,50.0,2.0,SS17-4PH
250.0,250.0,74.0,40.0,3.0,IN718
80.0,1200.0,39.0,30.0,1.0,Ti-6Al-4V
110.0,1000.0,100.0,70.0,1.0,IN718
180.0,1000.0,50.0,25.0,0.0,IN718
150.0,2000.0,20.0,20.0,1.0,Ti-6Al-4V
900.0,400.0,240.0,50.0,0.0,SS17-4PH
50.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
200.0,1000.0,80.0,50.0,0.0,SS17-4PH
1800.0,1200.0,240.0,50.0,2.0,SS17-4PH
75.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
200.0,100.0,74.0,40.0,3.0,IN718
280.0,950.0,100.0,70.0,0.0,IN718
150.0,200.0,100.0,70.0,3.0,IN718
195.0,1200.0,30.0,30.0,0.0,Ti-6Al-4V
50.0,1000.0,30.0,30.0,1.0,Ti-6Al-4V
180.0,400.0,700.0,100.0,1.0,IN718
285.0,960.0,100.0,70.0,0.0,IN718
120.0,1400.0,39.0,30.0,2.0,Ti-6Al-4V
200.0,800.0,100.0,70.0,0.0,IN718
180.0,400.0,700.0,100.0,1.0,IN718
280.0,1200.0,100.0,30.0,0.0,Ti-6Al-4V
200.0,2000.0,20.0,20.0,1.0,Ti-6Al-4V
250.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
225.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
100.0,200.0,100.0,70.0,0.0,IN718
250.0,1500.0,74.0,40.0,0.0,IN718
900.0,700.0,240.0,50.0,2.0,SS17-4PH
370.0,1400.0,100.0,70.0,2.0,IN718
195.0,900.0,100.0,20.0,2.0,SS17-4PH
1800.0,2200.0,240.0,50.0,2.0,SS17-4PH
100.0,900.0,80.0,50.0,0.0,SS17-4PH
200.0,1200.0,80.0,50.0,1.0,SS17-4PH
40.0,1200.0,39.0,30.0,1.0,Ti-6Al-4V
200.0,2500.0,20.0,20.0,2.0,Ti-6Al-4V
100.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
280.0,800.0,100.0,30.0,0.0,Ti-6Al-4V
1350.0,1200.0,240.0,50.0,2.0,SS17-4PH
195.0,1200.0,100.0,20.0,2.0,SS17-4PH
2700.0,2200.0,240.0,50.0,3.0,SS17-4PH
200.0,1800.0,80.0,50.0,2.0,SS17-4PH
75.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
180.0,800.0,50.0,25.0,3.0,IN718
1800.0,1800.0,240.0,50.0,2.0,SS17-4PH
200.0,250.0,74.0,40.0,3.0,IN718
150.0,200.0,100.0,70.0,3.0,IN718
150.0,1000.0,100.0,70.0,1.0,IN718
100.0,950.0,100.0,70.0,1.0,IN718
150.0,1000.0,30.0,30.0,0.0,Ti-6Al-4V
280.0,800.0,100.0,30.0,0.0,Ti-6Al-4V
160.0,1000.0,39.0,30.0,0.0,Ti-6Al-4V
200.0,2500.0,20.0,20.0,2.0,Ti-6Al-4V
200.0,800.0,80.0,50.0,0.0,SS17-4PH
75.0,455.0,50.0,60.0,3.0,Ti-6Al-4V
1350.0,1600.0,240.0,50.0,2.0,SS17-4PH
230.0,1200.0,100.0,70.0,2.0,IN718
160.0,1000.0,39.0,30.0,0.0,Ti-6Al-4V
300.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
195.0,750.0,30.0,30.0,3.0,Ti-6Al-4V
100.0,500.0,80.0,50.0,0.0,SS17-4PH
220.0,600.0,100.0,20.0,0.0,SS17-4PH
1800.0,1400.0,240.0,50.0,2.0,SS17-4PH
100.0,400.0,80.0,50.0,0.0,SS17-4PH
120.0,450.0,100.0,30.0,2.0,Ti-6Al-4V
75.0,146.0,50.0,60.0,3.0,Ti-6Al-4V
195.0,1200.0,100.0,20.0,2.0,SS17-4PH
200.0,1600.0,80.0,50.0,2.0,SS17-4PH
900.0,800.0,240.0,50.0,2.0,SS17-4PH
170.0,900.0,100.0,20.0,0.0,SS17-4PH
120.0,800.0,100.0,30.0,2.0,Ti-6Al-4V
160.0,1400.0,39.0,30.0,0.0,Ti-6Al-4V
